".id","X[[i]]","Package","LibPath","Item","Title"
"title","Data sets",NA,NA,NA,NA
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","US_births_1994_2003","Some People Are Too Superstitious To Have A Baby On Friday The 13th"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","US_births_2000_2014","Some People Are Too Superstitious To Have A Baby On Friday The 13th"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","ahca_polls","American Health Care Act Polls"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","airline_safety","Should Travelers Avoid Flying Airlines That Have Had Crashes in the Past?"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","antiquities_act","Trump Might Be The First President To Scrap A National Monument"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","avengers","Joining The Avengers Is As Deadly As Jumping Off A Four-Story Building"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","bachelorette","Bachelorette / Bachelor"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","bad_drivers","Dear Mona, Which State Has The Worst Drivers?"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","bechdel","The Dollar-And-Cents Case Against Hollywood's Exclusion of Women"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","biopics","'Straight Outta Compton' Is The Rare Biopic Not About White Dudes"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","bob_ross","A Statistical Analysis of the Work of Bob Ross"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","cand_events_20150114","Looking For Clues: Who Is Going To Run For President In 2016?"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","cand_events_20150130","Who Will Run For President: Romney Is Out"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","cand_state_20150114","Looking For Clues: Who Is Going To Run For President In 2016?"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","cand_state_20150130","Who Will Run For President: Romney Is Out"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","candy_rankings","Candy Power Ranking"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","chess_transfers","Chess Transfers"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","classic_rock_raw_data","Why Classic Rock Isn't What It Used To Be"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","classic_rock_song_list","Why Classic Rock Isn't What It Used To Be"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","college_all_ages","The Economic Guide To Picking A College Major"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","college_grad_students","The Economic Guide To Picking A College Major"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","college_recent_grads","The Economic Guide To Picking A College Major"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","comic_characters","Comic Books Are Still Made By Men, For Men And About Men"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","comma_survey","Elitist, Superfluous, Or Popular? We Polled Americans on the Oxford Comma"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","congress_age","Both Republicans And Democrats Have an Age Problem"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","cousin_marriage","How Many Americans Are Married To Their Cousins?"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","daily_show_guests","Every Guest Jon Stewart Ever Had On 'The Daily Show'"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","democratic_bench","Some Democrats Who Could Step Up If Hillary Isn't Ready For Hillary"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","drinks","Dear Mona Followup: Where Do People Drink The Most Beer, Wine And Spirits?"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","drug_use","How Baby Boomers Get High"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","elo_blatter","Blatter's Reign At FIFA Hasn't Helped Soccer's Poor"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","endorsements","Pols And Polls Say The Same Thing: Jeb Bush Is A Weak Front-Runner"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","fandango","Be Suspicious Of Online Movie Ratings, Especially Fandango's"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","fifa_audience","How To Break FIFA"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","flying","41 Percent Of Fliers Think You're Rude If You Recline Your Seat"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","food_world_cup","The FiveThirtyEight International Food Association's 2014 World Cup"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","generic_polllist","Congress Generic Ballot Polls"
"results",NA,"fivethirtyeight","C:/Users/Limin/Documents/R/win-library/3.5","generic_topline","Congress Generic Ballot Polls"
